p(MeV) beta E(MeV) m(MeV)
288.265 0.894467 322.276 144.101 
285.976 0.893517 320.057 143.715 
285.095 0.914784 311.653 125.89 
289.114 0.895831 322.732 143.421 
284.42 0.884946 321.398 149.673 
295.652 0.89735 329.473 145.403 
286.761 0.902338 317.798 136.98 
287.471 0.894715 321.299 143.504 
293.39 0.879335 333.651 158.886 
292.285 0.89174 327.769 148.331 
278.933 0.900306 309.82 134.851 
288.763 0.899808 320.916 140.011 
285.214 0.921562 309.49 120.154 
283.487 0.898477 315.52 138.52 
297.624 0.893298 333.174 149.75 
287.195 0.899196 319.391 139.748 
286.467 0.8918 321.224 145.331 
284.281 0.904015 314.465 134.434 
291.812 0.891423 327.355 148.348 
277.402 0.902903 307.234 132.063 
275.547 0.915193 301.08 121.34 
289.629 0.907692 319.083 133.899 
275.919 0.927003 297.646 111.633 
281.124 0.903908 311.01 133.027 
283.404 0.895176 316.591 141.108 
286.334 0.902417 317.297 136.712 
283.579 0.89364 317.331 142.413 
291.928 0.877022 332.863 159.924 
274.289 0.890274 308.095 140.314 
285.933 0.895531 319.288 142.083 
282.776 0.906948 311.789 131.339 
285.215 0.908846 313.822 130.905 
291.647 0.90374 322.711 138.146 
278.035 0.8985 309.443 135.838 
294.238 0.882256 333.506 157.005 
284.928 0.892681 319.183 143.853 
293.416 0.904076 324.548 138.702 
289.137 0.903553 320 137.113 
286.889 0.908342 315.838 132.092 
281.786 0.906135 310.976 131.539 
278.822 0.898757 310.231 136.02 
295.095 0.882984 334.202 156.875 
281.033 0.897284 313.204 138.265 
285.675 0.907581 314.766 132.163 
276.967 0.906796 305.434 128.762 
279.907 0.89936 311.229 136.072 
288.124 0.897152 321.155 141.861 
284.503 0.905761 314.104 133.114 
293.477 0.902922 325.03 139.699 
285.172 0.905023 315.099 134.031 
284.185 0.894516 317.697 142.022 
272.683 0.907138 300.596 126.501 
285.471 0.898254 317.806 139.668 
299.854 0.889721 337.02 153.851 
285.183 0.893533 319.164 143.304 
286.114 0.89985 317.957 138.693 
292.257 0.896101 326.143 144.759 
285.547 0.906052 315.155 133.363 
